"State and local court rules sometimes make default judgments much more likely.","value"
"For example, when a person who allegedly owes a debt is told to come to court on a work day, they may be forced to choose between a default judgment and their job.","value"
"I urge the CFPB to find practices that involve scheduling hearings at inconvenient times unfair, deceptive, and abusive, or inconsistent with 1692i.","policy"
"There is currently a split between the Ninth and First Circuits as to whether 1692i and other FDCPA provisions apply in garnishment proceedings.","fact"
"In many states, the nominal defendant is the judgment debtor's employer, but the judgment debtor is the real party in interest.","fact"
"To allow consumers to better assert the defenses to and exemptions from garnishment available under state law, the CFPB should issue a rule applying 1692i to garnishment proceedings.","value"
"In many districts where bad check diversion programs exist, there is anecdotal evidence that the companies administering the programs threaten with prosecution individuals who do not come within the state's bad check law for example, checks that bounce due to printing errors, checks for which there were funds available when written but not when presented, and individuals who pay the amount due by other means within grace periods permitted by state law.","fact"
"The CFPB should ensure that bad check diversion programs have a realistic means of ensuring that only individuals realistically subject to prosecution are targeted, and should also require that, in order to qualify for the 1692p safe harbor, diversion programs prohibit misleading communications and misstatements of state bad check law.","fact"
"Consumer attorneys occasionally advise their clients not to record unlawful communications due to state laws requiring both parties' consent for recording.","fact"
"The CFPB should require that debt collectors subject to the FDCPA impliedly consent to recording by consumers.","policy"
"When an attorney is a 'Debt Collector' (as per their own documents) and not legally considered a 'Collection Agency' the attorney is not held accountable for consumer protection law violations (both local and federal) within civil court.","fact"
"This loop hole needs to be addressed.","policy"
"The attorneys/debt collectors are not monitored by the state bar because it is a collection practice  (the attorneys buy old debt and then collect upon that debt in civil court and the state and federal civil courts are not monitoring the attorneys because it is an attorneys office and not considered a collection agency  - even though the attorneys buy old debt then take alleged debtors to civil court.","fact"
"I personally know of a very large attorney agency in Washington State that even gives classes thru the Washington state bar to other attorneys because it is a easy caseload to win.","fact"
"There is currently dispute among federal district and circuit courts as to whether a post-default assignee of a debt comes within the creditor exception.","fact"
"The CFPB should issue a rule providing that a post-default assignee is a collector for FDCPA purposes.","policy"
"The FDCPA contains an exception for creditors.","fact"
"The CFPB should include in any rule confirmation that the same practices prohibited for collectors under the FDCPA would be unfair, deceptive, or abusive acts and practices if done by a creditor.","policy"
"Assignments without notice could lead to consumers paying the wrong person.","value"
"The CFPB should encourage proper notice by ruling that a payment made to either of the assignee or the assignor reduces the debt.","policy"
"The original creditor has information about the debtor's language; ii) The collector obtains information about the debtor's language; *or* iii) The debtor lives in a ZIP code known to have a significant (5%?) number of non-English speakers.","value"
"This requirement should only apply to languages with large LEP populations - a threshold might be 100,000 - to avoid undue cost.","value"
"For smaller populations, where obtaining a full translation might be uneconomical, collectors could include the following passage translated into the appropriate languages on an otherwise English letter.","value"
"With the language now being offered due to time-barred states, our collection agencies do not want any of our accounts older than 4 years (TX).","fact"
"I'm aware of that, but I don't think many appellate courts have considered the issue.","value"
"To confirm that it's the law, it should be included in a rule.","value"
"My Constitutional rights are violated every time a lawyer fails to perform due diligence, per rule 137, BEFORE SIGNING and FILING COURT PAPER against me.","value"
"The clerks are helpless,  the judges & attorney disciplinary do nothing favoring ""lawyer zealousness."" I then have to spend time & money, going to court to prove I am NOT the person who owes the debt.","value"
"I urge the CFPB to create mechanisms for clerks & citizens that make it 1) easier to fix these messes &, 2) to bring sanctions against lawyers & judges for MISUSE OF LEGAL PROCEDURE, ABUSE OF PROCESS, WRONGFUL CIVIL PROCEEDINGS, & MALICIOUS PROSECUTION.","value"
"Allow the States and/or local courts administer lawsuits.","policy"
"Regardless of any added rules, documents, etc.","value"
"No federal rules.","policy"
"Allow States continued enforcement of their state laws.","policy"
"Maybe I missed something but I never received any notice from my original mortgage lender that my mortgage was sold.","value"
"my experience was the buyer sent the notice listing the original creditor name.","value"
"Requiring the seller and buyer to send a notice would cause consumer confusion.","fact"
"Assuming debtors have a valid address, which is some cases they do not, additional notice that the debt is being assigned to a third party collection entity is no benefit.My experience is intervention to collect by a third party normally occurs when the consumer is over 180 contractual delinquent.Furthermore, if the consumer receives the warning the account would be placed with a third partyMany and more confusing to the consumer and agency.","fact"
"Suspend further action to collect or re-sell.","policy"
"Placing a rule that prohibits a collector from reporting information to a CRA during the 30 day window would be a nightmare from elm street and only cause more problems.","value"
"Unresolved disputes should not be sold and should be removed from collection..Period.","policy"
"No, it is not even clear who a debt collector is, particularly under CA law.","value"
"The person sending the validating notice is typically a debt collector.","fact"
"This just causes confusion.","value"
"CA has already made great strides as to debt buyers.","value"
"This should be the rule for all collectors: that when they file, they must produce properly authenticated backing for the debt sued upon.","policy"
"There should be no option to attempt to verify the debt.","policy"
"Attempts should always be required and if verification is not made, the debt cannot be further transferred.","policy"
"FDCPA should define what constitutes reasonable period of time.","policy"
"In most cases the delay in response may be caused by the debtor paying installment payments to the attorney to file a bankruptcy proceeding.","value"
"When the debtor does not keep the repayment terms a creditor is presently not notified that the representation has terminated  and there is no attorney representation.","fact"
"Collectors are responsible for re-establishing contact with delinquent customers and providing services that facilitate repayment of the loans, regardless of the technology utilized.","value"
